date,open,high,low,close,volume,dividend_amount
05-12-2006,255,255.5,251.8,252.5,113830,0
06-12-2006,252.8,254.3,247.5,248.05,225426,0
07-12-2006,251,251,248,248.6,94497,0
08-12-2006,256.9,256.9,245.5,246.5,183386,0
11-12-2006,251.85,251.95,241,243.65,451995,0
12-12-2006,243.65,244.8,237.2,240.3,274024,0
13-12-2006,240,242,230.55,238.05,255883,0
14-12-2006,240,250,237.4,247.7,197887,0
15-12-2006,250.8,252,245,245.85,131565,0
18-12-2006,247.6,248,239,245.25,182046,0
19-12-2006,250,250,239,241,237088,0
20-12-2006,242,246,241.6,244.15,215810,0
21-12-2006,242,248.45,241.15,247.35,332911,0
22-12-2006,248.65,248.65,245,247.9,91859,0
26-12-2006,249.9,256.9,248.1,255.9,304361,0
27-12-2006,257.9,260.4,256.1,259.55,358204,0
28-12-2006,259.95,260.45,251.15,253.25,144593,0
29-12-2006,253.5,254.85,249,250.7,141225,0
02-01-2007,253.4,253.9,250.6,251.55,64744,0
03-01-2007,252,258.7,249.3,257.85,247171,0
04-01-2007,257,259.8,249,255,170238,0
05-01-2007,255,255.9,252.15,253.85,141355,0
08-01-2007,250.1,254,247,247.85,232220,0
09-01-2007,248,251.5,243,244.25,161357,0
10-01-2007,245.1,245.5,240,243.3,210140,0
11-01-2007,245.95,248,242.15,246.6,115053,0
12-01-2007,248,257,247.1,254.85,295529,0
15-01-2007,255,260.1,252.5,258,1055911,0
16-01-2007,260,260.5,255.15,258.7,157723,0
17-01-2007,259,261.5,258.05,258.6,196418,0
18-01-2007,260,261.35,257,258.3,123905,0
19-01-2007,258.3,258.3,250.25,252.55,163710,0
22-01-2007,254.8,256,252.55,254.25,60136,0
23-01-2007,255.8,256.75,252.8,253.8,88568,0
24-01-2007,253.5,253.5,246.8,248.7,232281,0
25-01-2007,249.9,251.85,239.6,244.6,567132,0
29-01-2007,248,255,246.1,248.3,358055,0
31-01-2007,250.95,250.95,244.55,245.8,269557,0
01-02-2007,247,247.85,244.5,246.35,117689,0
02-02-2007,248,252.85,248,249.65,130598,0
05-02-2007,250,252.5,246.5,247.35,136635,0
06-02-2007,248,251,246.15,250.1,178153,0
07-02-2007,249.9,258,249,256.35,256532,0
08-02-2007,259.5,259.9,253.25,255.7,177860,0
09-02-2007,255.5,256,250.5,251.45,70443,0
12-02-2007,252,252,245.4,246.85,135115,0
13-02-2007,246.6,247.45,241.7,243.15,208239,0
14-02-2007,242,247,240,243.9,190827,0
15-02-2007,245.9,255.9,244,254.7,179218,0
19-02-2007,252,258,252,254,121112,0
20-02-2007,256,256,250.6,254.55,169746,0
21-02-2007,255.5,256,250.55,254.6,155228,0
22-02-2007,255,255.55,245.5,248.7,143830,0
23-02-2007,247,248,240.3,241.8,146586,0
26-02-2007,244.4,245.5,235.5,243.65,147875,0
27-02-2007,245.05,246,240,240.65,99510,0
28-02-2007,238,239.1,226,233.3,306059,0
01-03-2007,240,240,226,230.65,233007,0
02-03-2007,232,232.8,223.5,224.95,255130,0
05-03-2007,221.25,224,215,217.3,339216,0
06-03-2007,223,227.8,216,221.65,173981,0
07-03-2007,223,236.5,223,232.7,346445,0
08-03-2007,233.15,238.9,228.15,236.5,190380,0
09-03-2007,237,239.7,228,228.95,105251,0
12-03-2007,229.55,233.7,228.5,232.7,182098,0
13-03-2007,233.55,237,228,236.35,158348,0
14-03-2007,228,236.3,228,230.75,101117,0
15-03-2007,232.9,233.95,225.9,227.25,128587,0
16-03-2007,229,230.5,221.55,223.5,98185,0
19-03-2007,224.5,228,224,224.75,95216,0
20-03-2007,225,230.85,225,230.25,1180887,0
21-03-2007,230,233.4,229,232.5,93454,0
22-03-2007,234,237,233.15,234.95,272291,0
23-03-2007,236,243.7,233,241.5,210187,0
26-03-2007,243.5,243.7,235.6,237.5,169656,0
28-03-2007,234,237.6,232.5,234.75,229483,0
29-03-2007,234,237,232.5,235.85,286127,0
30-03-2007,236,239.75,234.4,235.7,205655,0
02-04-2007,234.7,234.7,224,225.75,187416,0
03-04-2007,228,228,220.5,224.05,255634,0
04-04-2007,228,230,226.05,229.2,89932,0
05-04-2007,232,234.8,228,232.4,382460,0
09-04-2007,234.65,236.7,233.5,235.15,119354,0
10-04-2007,235,237,231.25,233.55,87763,0
11-04-2007,235,239,234.15,236.05,208175,0
12-04-2007,232,235.5,230.2,232.6,73207,0
13-04-2007,233,234.7,231.25,232.25,106532,0
16-04-2007,233,237,226.5,235.5,346414,0
17-04-2007,236,236.8,229,230,307199,0
18-04-2007,232.95,233.95,230.25,233.2,98554,0
19-04-2007,232,235.4,229.15,234.3,94444,0
20-04-2007,235,236.5,232.55,235.05,111757,0
23-04-2007,237.1,237.1,233.8,234.05,63639,0
24-04-2007,236,242.25,233,239.3,311661,0
25-04-2007,239.5,256,236,252.25,710127,0
