date,open,high,low,close,volume,dividend_amount
2009-03-27,428.0,434.5,418.2,431.2,6118605.0,0.0
2009-03-30,424.75,424.75,391.55,397.4,5209895.0,0.0
2009-03-31,401.05,423.0,376.0,414.5,12168095.0,0.0
2009-04-01,410.0,421.3,400.1,417.85,6864955.0,0.0
2009-04-02,426.35,448.7,423.5,439.75,4752765.0,0.0
2009-04-06,445.6,462.0,427.0,436.4,5476190.0,0.0
2009-04-08,420.0,449.5,400.5,443.85,5970890.0,0.0
2009-04-09,452.0,458.2,436.0,444.55,7959155.0,0.0
2009-04-13,445.1,470.25,445.1,462.25,4141705.0,0.0
2009-04-15,458.6,514.75,425.15,504.25,8552810.0,0.0
2009-04-16,515.0,516.0,461.0,470.65,7830395.0,0.0
2009-04-17,473.8,511.0,473.8,503.8,7928690.0,0.0
2009-04-20,510.0,540.0,499.0,510.3,9727365.0,0.0
2009-04-21,499.9,505.25,478.0,493.85,9857530.0,0.0
2009-04-22,493.0,509.85,467.1,472.5,8366180.0,0.0
2009-04-23,475.0,510.0,463.1,502.55,8261575.0,0.0
2009-04-24,505.0,534.25,502.0,528.75,7457655.0,0.0
2009-04-27,522.0,563.55,515.3,557.55,7457025.0,0.0
2009-04-28,560.0,569.9,525.1,530.6,6826865.0,0.0
2009-04-29,548.95,561.45,534.6,555.65,4788770.0,0.0
2009-05-04,569.0,611.0,569.0,608.85,5199085.0,0.0
2009-05-05,611.85,642.9,606.0,627.8,7556640.0,0.0
2009-05-06,638.2,638.2,594.3,604.85,6421620.0,0.0
2009-05-07,614.0,628.35,610.0,624.55,3699835.0,0.0
2009-05-08,615.0,629.4,596.05,607.35,3578435.0,0.0
2009-05-11,609.9,631.7,602.75,617.8,5158125.0,0.0
2009-05-12,615.85,679.0,602.75,668.25,7737590.0,0.0
2009-05-13,678.0,690.0,661.0,670.25,8163955.0,0.0
2009-05-14,656.0,658.7,624.0,637.4,10513560.0,2.0
2009-05-15,645.0,671.7,644.9,659.4,5972605.0,0.0
2009-05-18,788.95,805.0,725.1,793.6,49375.0,0.0
2009-05-19,821.1,849.0,750.05,766.8,5624920.0,0.0
2009-05-20,761.0,791.0,716.0,728.05,5016280.0,0.0
2009-05-21,738.65,756.8,720.05,734.95,4843935.0,0.0
2009-05-22,705.0,767.0,705.0,762.7,4427985.0,0.0
2009-05-25,767.0,778.0,754.25,771.9,2119715.0,0.0
2009-05-26,772.0,777.6,739.1,743.8,2344835.0,0.0
2009-05-27,769.0,800.9,757.0,797.4,3895225.0,0.0
2009-05-28,799.0,809.4,770.8,782.05,5092215.0,0.0
2009-05-29,790.0,811.5,774.35,783.4,2641495.0,0.0
2009-06-01,787.0,800.0,729.5,742.25,6843795.0,0.0
2009-06-02,752.0,762.9,702.45,720.15,6902525.0,0.0
2009-06-03,703.0,740.9,703.0,716.2,4057295.0,0.0
2009-06-04,705.1,740.0,699.25,734.85,6267765.0,0.0
2009-06-05,747.0,751.0,730.05,737.5,3768370.0,0.0
2009-06-08,740.0,744.5,690.0,697.8,2119345.0,0.0
2009-06-09,698.8,730.0,677.3,725.2,3445890.0,0.0
2009-06-10,739.65,755.0,731.0,749.45,4494650.0,0.0
2009-06-11,750.0,755.65,718.65,725.55,2090745.0,0.0
2009-06-12,738.0,744.65,698.25,703.45,2267850.0,0.0
2009-06-15,700.0,735.0,687.55,716.45,2613465.0,0.0
2009-06-16,710.0,764.0,700.0,757.9,4134275.0,0.0
2009-06-17,770.0,770.0,713.3,720.85,3932880.0,0.0
2009-06-18,738.0,750.85,700.0,731.9,4768365.0,0.0
2009-06-19,742.0,761.0,724.1,755.5,5044470.0,0.0
2009-06-22,765.0,782.0,756.2,763.9,3473070.0,0.0
2009-06-23,760.0,760.0,680.0,746.75,2316295.0,0.0
2009-06-24,776.0,776.0,738.6,768.65,2223250.0,0.0
2009-06-25,768.65,789.0,767.15,777.3,2700430.0,0.0
2009-06-26,781.0,822.0,780.0,818.45,3543155.0,0.0
2009-06-29,824.8,901.0,818.0,867.1,9437195.0,0.0
2009-06-30,872.0,887.65,825.3,833.65,7876655.0,0.0
2009-07-01,839.0,879.9,831.0,869.55,5897540.0,0.0
2009-07-02,878.0,880.05,837.55,853.15,3426160.0,0.0
2009-07-03,839.0,875.0,839.0,871.8,2970810.0,0.0
2009-07-06,878.0,885.0,782.3,794.2,3556020.0,0.0
2009-07-07,812.0,825.0,790.0,817.2,3889160.0,0.0
2009-07-08,813.0,813.0,771.1,783.6,3460325.0,0.0
2009-07-09,798.8,798.8,746.25,765.2,4545605.0,0.0
2009-07-10,782.0,786.9,727.0,739.1,3032865.0,0.0
2009-07-13,711.55,771.0,705.15,755.9,11753945.0,0.0
2009-07-14,762.3,784.8,749.1,762.9,6372305.0,0.0
2009-07-15,765.0,799.0,762.25,788.9,4034795.0,0.0
2009-07-16,810.0,810.0,784.3,799.0,3635500.0,0.0
2009-07-17,809.0,857.1,802.75,851.75,5162270.0,0.0
2009-07-20,860.1,893.5,847.2,886.3,3497515.0,0.0
2009-07-21,887.0,895.0,861.1,882.85,3620495.0,0.0
2009-07-22,897.8,908.7,852.5,861.35,3803730.0,0.0
2009-07-23,875.0,896.8,874.0,892.6,5074715.0,0.0
2009-07-24,909.0,909.0,880.05,892.5,2466780.0,0.0
2009-07-27,894.1,948.0,894.0,938.6,4714895.0,0.0
2009-07-28,944.0,969.0,915.7,954.45,4625200.0,0.0
2009-07-29,942.7,946.85,895.6,919.2,3407090.0,0.0
2009-07-30,918.0,929.9,895.0,917.5,2591425.0,0.0
2009-07-31,929.0,947.9,908.55,917.7,2565535.0,0.0
2009-08-03,918.4,930.0,911.0,921.55,2721680.0,0.0
2009-08-04,923.0,925.1,886.8,894.65,3131275.0,0.0
2009-08-05,901.1,906.0,845.1,851.4,5451270.0,0.0
2009-08-06,845.0,869.7,838.0,845.2,5489060.0,0.0
2009-08-07,830.0,849.9,802.35,814.15,3599130.0,0.0
2009-08-10,830.0,848.0,797.1,840.5,5753565.0,0.0
2009-08-11,842.0,872.8,836.7,866.75,5517490.0,0.0
2009-08-12,859.9,877.8,840.0,870.55,4173050.0,0.0
2009-08-13,876.0,888.6,867.2,877.8,3212080.0,0.0
2009-08-14,879.0,881.0,861.1,870.3,2052220.0,0.0
2009-08-17,860.0,860.0,825.0,828.55,3148420.0,0.0
2009-08-18,827.0,843.9,817.5,830.85,2263085.0,0.0
2009-08-19,834.9,838.0,809.0,819.65,2355635.0,0.0
2009-08-20,840.0,846.5,822.0,843.05,2072655.0,0.0
2009-08-21,855.0,883.0,834.0,879.4,4103560.0,0.0
2009-08-24,890.0,911.5,888.0,906.95,2000610.0,0.0
2009-08-25,902.0,919.95,894.0,916.15,2490880.0,0.0
2009-08-26,905.25,936.0,905.25,930.95,1954475.0,0.0
2009-08-27,938.0,938.0,913.25,921.25,1945980.0,0.0
2009-08-28,925.0,937.0,905.0,917.6,1929750.0,0.0
2009-08-31,900.0,912.9,895.45,906.7,1889870.0,0.0
2009-09-01,909.0,923.9,881.0,891.7,1952965.0,0.0
2009-09-02,889.9,904.0,881.0,889.65,1322615.0,0.0
2009-09-03,909.0,909.85,885.0,889.65,1386330.0,0.0
2009-09-04,895.0,909.8,890.0,906.95,1363260.0,0.0
2009-09-07,918.0,935.0,910.1,932.75,1575055.0,0.0
2009-09-08,938.0,943.9,901.1,906.0,2013890.0,0.0
2009-09-09,905.0,920.6,900.0,913.4,1762530.0,0.0
2009-09-10,918.0,932.0,903.05,909.0,2160665.0,0.0
2009-09-11,915.9,915.9,893.0,902.95,1521145.0,0.0
2009-09-14,914.0,914.0,890.0,895.5,1238480.0,0.0
2009-09-15,879.0,915.9,879.0,907.65,1553955.0,0.0
2009-09-16,916.55,921.0,905.0,907.35,1265820.0,0.0
2009-09-17,915.0,927.0,909.0,911.55,1652130.0,0.0
2009-09-18,913.0,922.0,895.0,914.1,2834360.0,0.0
2009-09-22,918.0,921.95,907.0,909.75,1409255.0,0.0
2009-09-23,914.0,929.3,910.0,919.85,2981840.0,0.0
2009-09-24,914.0,924.8,904.0,918.25,1521940.0,0.0
2009-09-25,921.0,926.0,906.0,914.4,1366245.0,0.0
2009-09-29,920.0,930.0,915.0,925.2,926360.0,0.0
2009-09-30,927.0,989.8,927.0,981.55,10423355.0,0.0
2009-10-01,980.0,1017.4,975.0,1008.6,4437790.0,0.0
2009-10-05,985.0,1003.0,964.1,969.2,2131340.0,0.0
2009-10-06,982.4,1002.7,958.1,998.65,2678600.0,0.0
2009-10-07,1010.0,1024.0,971.1,980.0,2179020.0,0.0
2009-10-08,986.0,1023.3,975.5,1012.65,4375855.0,0.0
2009-10-09,1018.0,1028.05,977.1,996.2,3385600.0,0.0
2009-10-12,1011.0,1020.8,996.1,1012.75,2431375.0,0.0
2009-10-14,1020.0,1041.5,1004.0,1032.1,2554015.0,0.0
2009-10-15,1048.0,1048.0,998.0,1006.25,1691740.0,0.0
2009-10-16,1009.0,1021.0,998.0,1006.1,2109675.0,0.0
2009-10-20,1017.0,1026.1,988.8,994.55,1282675.0,0.0
2009-10-21,1000.0,1000.0,972.0,976.35,1038890.0,0.0
2009-10-22,970.0,986.9,960.0,966.45,1168960.0,0.0
2009-10-23,979.0,999.5,975.0,994.8,1479095.0,0.0
2009-10-26,1005.0,1005.0,963.1,967.25,825275.0,0.0
2009-10-27,960.0,987.25,925.6,952.3,3261325.0,0.0
2009-10-28,950.0,965.0,923.15,928.65,3241815.0,0.0
2009-10-29,920.0,932.0,900.0,908.9,1727035.0,0.0
2009-10-30,915.0,956.0,900.1,907.9,1592825.0,0.0
2009-11-03,905.0,919.0,889.25,894.55,1789345.0,0.0
2009-11-04,913.9,928.0,895.6,923.55,1533890.0,0.0
2009-11-05,934.0,934.0,892.85,917.0,1933535.0,0.0
2009-11-06,919.0,946.9,918.5,935.25,1277550.0,0.0
2009-11-09,940.0,1003.1,939.0,997.25,3204450.0,0.0
2009-11-10,1008.4,1023.7,989.0,995.85,2333730.0,0.0
2009-11-11,1000.0,1009.5,984.8,1005.1,1318440.0,0.0
2009-11-12,1007.8,1008.0,971.3,979.15,1209140.0,0.0
2009-11-13,976.0,1002.0,971.0,996.6,1443655.0,0.0
2009-11-16,1010.0,1014.0,995.0,999.3,1169105.0,0.0
2009-11-17,1014.0,1014.0,985.0,1000.1,851980.0,0.0
2009-11-18,1005.0,1012.35,993.65,997.5,795005.0,0.0
2009-11-19,997.0,1005.0,978.0,984.85,779105.0,0.0
2009-11-20,980.0,998.85,956.1,991.95,1228995.0,0.0
2009-11-23,990.0,1006.5,990.0,998.75,1094815.0,0.0
2009-11-24,1001.65,1005.9,981.25,999.85,966735.0,0.0
2009-11-25,1002.45,1021.9,998.0,1016.8,3160495.0,0.0
2009-11-26,1018.0,1038.5,995.0,999.65,2495355.0,0.0
2009-11-27,993.0,999.0,937.3,969.4,1644130.0,0.0
2009-11-30,982.3,1011.7,981.0,997.45,1230080.0,0.0
2009-12-01,1015.0,1040.0,1007.0,1036.5,1878975.0,0.0
2009-12-02,1042.0,1053.15,1034.15,1046.85,2010300.0,0.0
2009-12-03,1050.0,1062.9,1037.3,1047.85,1159595.0,0.0
2009-12-04,1042.0,1045.0,1021.3,1026.5,881240.0,0.0
2009-12-07,1029.7,1037.4,1006.0,1011.1,710595.0,0.0
2009-12-08,1011.1,1045.0,1006.0,1040.5,1268215.0,0.0
2009-12-09,1035.0,1035.0,1009.0,1016.3,924955.0,0.0
2009-12-10,1025.0,1029.0,1001.1,1021.6,1297515.0,0.0
2009-12-11,1035.0,1035.0,997.55,1003.65,1088540.0,0.0
2009-12-14,1010.0,1014.0,989.15,994.2,1027335.0,0.0
2009-12-15,1004.0,1004.0,954.0,958.95,1320935.0,0.0
2009-12-16,950.0,956.0,933.1,938.25,1960295.0,0.0
2009-12-17,936.0,949.7,919.2,941.9,2177740.0,0.0
2009-12-18,935.0,953.8,928.2,933.95,1620590.0,0.0
2009-12-21,939.65,960.5,926.1,954.5,1694775.0,0.0
2009-12-22,960.0,973.0,960.0,967.25,1290330.0,0.0
2009-12-23,974.0,985.9,967.35,983.3,1262250.0,0.0
2009-12-24,988.0,991.5,976.0,987.15,2876270.0,0.0
2009-12-29,990.0,997.4,982.0,984.25,713355.0,0.0
2009-12-30,990.0,990.0,971.25,980.1,2183370.0,0.0
2009-12-31,985.0,993.45,980.0,988.7,695835.0,0.0
2010-01-04,999.0,999.0,988.0,993.05,658270.0,0.0
2010-01-05,1001.0,1018.85,997.0,1010.0,1105750.0,0.0
2010-01-06,1016.65,1020.0,992.15,995.3,815055.0,0.0
2010-01-07,1000.0,1005.0,989.0,1002.95,1123435.0,0.0
2010-01-08,1009.0,1018.3,997.0,1013.55,1219710.0,0.0
2010-01-11,1020.0,1056.0,1018.85,1051.1,1509610.0,0.0
2010-01-12,1050.0,1073.0,1030.5,1049.1,1586180.0,0.0
2010-01-13,1028.0,1048.0,1028.0,1039.45,2224945.0,0.0
2010-01-14,1038.9,1077.8,1038.9,1062.05,2228290.0,0.0
2010-01-15,1078.85,1092.95,1065.0,1078.2,2247170.0,0.0
2010-01-18,1075.0,1115.0,1060.35,1108.3,1796635.0,0.0
2010-01-19,1111.0,1115.0,1093.2,1104.2,865845.0,0.0
2010-01-20,1108.0,1118.0,1079.35,1082.75,803705.0,0.0
2010-01-21,1080.0,1089.9,1051.15,1060.05,699775.0,0.0
2010-01-22,1050.0,1056.05,1024.1,1031.15,1537490.0,0.0
2010-01-25,1020.0,1030.0,1006.0,1017.6,588995.0,0.0
2010-01-27,1010.0,1010.0,967.15,972.55,1231550.0,0.0
2010-01-28,998.8,1022.0,980.0,1014.0,1014920.0,0.0
2010-01-29,1005.0,1044.0,990.0,1025.5,2256845.0,0.0
2010-02-01,1030.8,1072.8,1005.0,1063.35,1452575.0,0.0
2010-02-02,1075.25,1083.25,1028.3,1033.05,1448755.0,0.0
2010-02-03,1043.3,1075.0,1025.1,1069.9,1422975.0,0.0
2010-02-04,1068.0,1068.35,1042.25,1047.05,664260.0,0.0
2010-02-05,1031.65,1031.65,995.5,1023.35,1372270.0,0.0
2010-02-08,1030.0,1040.7,1004.1,1023.0,795790.0,0.0
2010-02-09,1026.0,1054.6,1014.2,1037.9,1218105.0,0.0
2010-02-10,1049.85,1049.85,1020.0,1024.8,849970.0,0.0
